target,fold,feature,ori_mean,ori_std,raw_mean,raw_std,filt_mean,filt_std,n_ori,n_raw,n_filt,pct_kept
temp_min,6,T-1,8.5346,5.0713,8.8028,7.4531,8.961,7.2943,1310,1400,1326,94.7
temp_min,6,T,8.5253,5.0777,8.444,5.9206,8.5484,5.6904,1310,1400,1326,94.7
temp_min,6,T+1 (target),8.5144,5.0863,9.4996,6.4921,9.6015,6.307,1310,1400,1326,94.7
temp_min,7,T-4,7.7228,4.9382,6.5937,6.9653,6.6714,6.8221,1310,1400,1328,94.9
temp_min,7,T-3,7.7182,4.9416,8.9319,6.1988,9.0405,5.9691,1310,1400,1328,94.9
temp_min,7,T-2,7.7152,4.9405,5.0041,7.3048,5.0337,7.1634,1310,1400,1328,94.9
temp_min,7,T-1,7.7089,4.9417,5.7851,7.1072,5.8475,6.9662,1310,1400,1328,94.9
temp_min,7,T,7.7034,4.9441,8.6982,6.4562,8.8019,6.2772,1310,1400,1328,94.9
temp_min,7,T+1 (target),7.7,4.9477,7.1426,6.4387,7.2065,6.2876,1310,1400,1328,94.9
temp_min,8,T-4,8.5983,4.9966,8.1013,6.1233,8.2028,5.9425,1310,1400,1323,94.5
temp_min,8,T-3,8.5966,5.002,7.1081,6.3406,7.25,6.1946,1310,1400,1323,94.5
temp_min,8,T-2,8.5992,5.0051,6.5254,7.3143,6.6464,7.2232,1310,1400,1323,94.5
temp_min,8,T-1,8.5989,5.0099,8.9743,6.491,9.1121,6.3157,1310,1400,1323,94.5
temp_min,8,T,8.5972,5.015,8.1412,7.0511,8.248,6.9146,1310,1400,1323,94.5
temp_min,8,T+1 (target),8.5985,5.0197,9.5232,5.6525,9.5891,5.4828,1310,1400,1323,94.5
temp_min,9,T-4,7.9786,5.0185,6.1937,5.7663,6.204,5.6686,1310,1400,1329,94.9
temp_min,9,T-3,7.9685,5.0163,6.9851,5.8551,7.0339,5.7151,1310,1400,1329,94.9
temp_min,9,T-2,7.9638,5.0142,6.7275,6.6588,6.7748,6.5273,1310,1400,1329,94.9
temp_min,9,T-1,7.9563,5.0158,8.9369,5.6726,9.0393,5.5192,1310,1400,1329,94.9
temp_min,9,T,7.9482,5.0159,7.2112,7.5981,7.2306,7.4854,1310,1400,1329,94.9
temp_min,9,T+1 (target),7.938,5.0157,5.9701,6.8112,5.998,6.6885,1310,1400,1329,94.9
temp_min,10,T-4,8.1815,5.0169,8.029,7.111,8.049,6.9949,1310,1400,1334,95.3
temp_min,10,T-3,8.1908,5.0223,8.8249,7.1026,8.8787,6.9803,1310,1400,1334,95.3
temp_min,10,T-2,8.1996,5.023,6.676,7.1068,6.6855,7.028,1310,1400,1334,95.3
temp_min,10,T-1,8.2034,5.0241,6.0104,6.7374,6.0476,6.5897,1310,1400,1334,95.3
temp_min,10,T,8.2106,5.0271,6.684,7.0371,6.7052,6.9304,1310,1400,1334,95.3
temp_min,10,T+1 (target),8.2204,5.029,5.9633,6.4108,5.9623,6.2687,1310,1400,1334,95.3
